District	Vehicles	count_sum
rajshahi	null	22.0
dhaka	null	107.0
chittagong	null	43.0
null	bus	10.0
khulna	bus	3.0
magura	bus	1.0
gazipur	truck	1.0
barisal	null	6.0
panchagarh	null	2.0
gazipur	null	7.0
meherpur	null	5.0
null	null	62.0
madaripur	truck	1.0
bhola	null	3.0
pabna	null	12.0
null	bus,bus	2.0
manikganj	null	4.0
bogra	null	10.0
null	truck	5.0
khulna	null	23.0
jessore	null	3.0
chandpur	null	2.0
comilla	bus	3.0
bogra	truck,bus	1.0
tangail	null	7.0
moulvibazar	null	5.0
comilla	null	4.0
sirajganj	null	8.0
gaibandha	null	7.0
dinajpur	null	14.0
chittagong	truck	2.0
khagrachhari	truck	2.0
faridpur	null	3.0
barisal	bus	6.0
sylhet	rickshaw,bus	1.0
dhaka	rickshaw,bus	1.0
tangail	rickshaw,bus	2.0
rajshahi	rickshaw,bus	2.0
satkhira	null	7.0
sylhet	null	5.0
narayanganj	null	6.0
lalmonirhat	null	3.0
rangamati	null	4.0
bandarban	null	5.0
chittagong	bus	7.0
brahmanbaria	bus	2.0
netrakona	bus	2.0
feni	null	2.0
natore	null	3.0
naogaon	null	9.0
dhaka	bus,truck	1.0
netrakona	null	4.0
brahmanbaria	null	5.0
narsingdia	null	1.0
khulna	bus,rickshaw	1.0
narsingdi	null	1.0
sherpur	null	3.0
khagrachhari	null	8.0
madaripur	null	2.0
bagerhat	null	8.0
bogra	bus	2.0
rajshahi	bus	6.0
patuakhali	bus	1.0
chapainawabganj	null	2.0
kushtia	null	4.0
rangpur	null	2.0
barguna	null	1.0
dhaka	rickshaw	3.0
rangpur	bus	2.0
dhaka	bus	13.0
narayanganj	microbus	1.0
null	rickshaw	2.0
pirojpur	null	2.0
munshiganj	null	2.0
jamalpur	null	3.0
gopalganj	null	2.0
patuakhali	null	3.0
thakurgaon	null	6.0
joypurhat	null	1.0
rajbari	null	1.0
habiganj	null	1.0
dhak	null	1.0
rajshahi	rickshaw	1.0
mymensingh	null	4.0
sunamganj	null	2.0
gopalganj	bus	1.0
null	microbus	2.0
narayanganj	bus	1.0
chapainawabganj	microbus	1.0
madaripur	bus	1.0
mymensingh	bus	1.0
gazipur	bus	1.0
dhaka	truck	4.0
moulvibazar	truck	1.0
khulna	bus,tempo	1.0
dhaka	tempo,truck	1.0
null	lorry	1.0
tangail	bus	1.0
null	bus,truck	1.0
dhaka	bus,bus	2.0
narayanganj	bus,bus	1.0
chittagong	bus,bus	1.0
sirajganj	jeep,bus	1.0
dinajpuri	jeep,bus	1.0
manikganj	jeep,bus	1.0
nilphamari	jeep,bus	1.0
dhaka	bus,tempo	1.0
null	rickshaw,rickshaw	1.0
barisal	rickshaw	1.0
nilphamari	null	1.0
dhaka,barisal	truck	1.0
shariatpur	bus	2.0
dinajpur	truck	1.0
chapainawabganja	null	1.0
chittagong	microbus	1.0
moulvibazar	bus	1.0
chuadanga	rickshaw	1.0
jessore	truck	1.0
gazipur	microbus	1.0
manikganj	bus	2.0
dhaka	ambulance	1.0
faridpur	bus	1.0
jhenaidah	null	1.0
khulna	tempo	1.0
tangail	caravan,bus	1.0
jessore	bus	1.0
rangamati	bus	1.0
joypurhat	bus	1.0
sunamganj	bus	1.0
dhaka	microbus	1.0
dinajpur	bus,bus	1.0
kishoreganj	null	1.0
bogra	microbus	1.0
chandpur	bus	1.0
rajshahi	truck	1.0
comilla	bus,bus	1.0
habiganj	microbus	1.0
bagerhat	bus,truck	1.0
