Respondents Gender	Mostly visited online shop	count_sum
male	kaymu.com.bd	30.0
female	bikroy.com	14.0
male	bikroy.com	49.0
male	facebook pages	44.0
female	kaymu.com.bd	8.0
female	null	52.0
female	facebook pages	68.0
male	amazon/ebay	21.0
male	olx.com.bd	6.0
female	ekhanei.com	8.0
male	ajkerdeal.com	15.0
male	null	84.0
male	ekhanei.com	18.0
male	shohoz.com	22.0
male	others	24.0
female	amazon/ebay	4.0
male	alibaba.com	5.0
female	chaldal.com	1.0
male	chaldal.com	4.0
female	others	5.0
male	daraz.com.bd	16.0
female	ajkerdeal.com	5.0
female	daraz.com.bd	7.0
female	clickbd.com	1.0
male	clickbd.com	1.0
female	olx.com.bd	1.0
female	alibaba.com	1.0
null	null	12.0
