Date,Age,Gender,Profession,Methodology,Reason,Time,District,Source
2010-01-05,19,Female,Housewife,Hanging,Family feud,13:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=120721
2010-01-05,22,Male,Police,Shooting,Family feud,00:10:00,Dinajpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=120657
2010-01-07,45,Male,Police,Shooting,Family feud,21:15:00,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=121012
2010-01-11,9,Male,Student,Hanging,-,02:00:00,Sirajganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=121476
2010-01-12,17,Female,Student,Hanging,-,13:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=121590
2010-01-14,28,Female,Housewife,Jumped in front of train,Family fued,Morning,Magura,http://archive.thedailystar.net/newDesign/news-details.php?nid=122540
2010-01-22,32,Female,Housewife,Hanging,Family fued,Morning,Narayanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=123380
2010-01-16,30,Male,Not given,Poison,Personal problem,22:30:00,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=123679
2010-01-28,14,Female,Student,Poison,Family fued,-,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
2010-01-28,76,Female,Student,Poison,Family feud,Afternoon,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
2010-01-28,11,Female,Not given,Poison,-,-,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
2010-01-29,46,Male,not given,Poison,-,-,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
2010-01-29,24,Male,not given,Hanging,Family feud,Afternoon,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
2010-02-01,38,Male,Prisoner,Hanging,-,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=124674
2010-02-03,12,Female,Student,Hanging,Eve teasing,Afternoon,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=124952
2010-02-06,22,Female,Housewife,Hanging,Family feud,09:00:00,Narail,http://archive.thedailystar.net/newDesign/news-details.php?nid=125218
2010-02-05,22,Female,Student,Hanging,Family fued,Morning,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=125218
2010-02-12,27,Female,Housewife,Hanging,-,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=126235
2010-02-13,22,Female,Housewife,Poison,Torture,18:30:00,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=126371
2010-02-13,45,Female,Housewife,Poison,Medical reason,11:30:00,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=126371
2010-02-12,22,Female,Housewife,Hanging,Torture,Night,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=126371
2010-02-14,15,Female,Student,Hanging,Family feud,Noon,Panchagarh,http://archive.thedailystar.net/newDesign/news-details.php?nid=126486
2010-02-21,48,Male,Police,Hanging,-,Night,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=127505
2010-02-23,22,Female,Housewife,Hanging,Family fued,09:00:00,Nawabganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=127696
2010-02-24,20,Male,not given,-,-,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=127785
2010-02-27,20,Female,Student,Hanging,Family feud,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=128170
2010-02-27,75,Male,not given,Hanging,Family feud,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=128170
2010-02-26,19,Female,Housewife,Hanging,Medical reason,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=128170
2010-02-26,25,Male,not given,Poison,Family fued,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=128170
2010-03-01,24,Female,Housewife,Hanging,Family fued,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=128346
2010-03-01,25,Female,Office manager,Hanging,Personal problem,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=128346
2010-03-01,25,Male,Police,Shooting,-,02:00:00,Bandarban,http://archive.thedailystar.net/newDesign/news-details.php?nid=128425
2010-03-06,14,Female,Student,Hanging,Family feud,15:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=129048
2010-03-05,20,Male,Student,Hanging,Mental problem,Morning,Barisal,http://archive.thedailystar.net/newDesign/news-details.php?nid=129012
