Gender	Reason	Methodology	count_sum
Female	Family feud	Hanging	79.0
Male	Family feud	Shooting	4.0
Male	-	Hanging	23.0
Female	-	Hanging	56.0
Female	Family fued	Jumped in front of train	3.0
Female	Family fued	Hanging	54.0
Male	Personal problem	Poison	6.0
Female	Family fued	Poison	37.0
Female	Family feud	Poison	51.0
Female	-	Poison	13.0
Male	-	Poison	6.0
Male	Family feud	Hanging	41.0
Female	Eve teasing	Hanging	4.0
Female	Torture	Poison	3.0
Female	Medical reason	Poison	1.0
Female	Torture	Hanging	12.0
Male	-	-	2.0
Female	Medical reason	Hanging	1.0
Male	Family fued	Poison	13.0
Female	Personal problem	Hanging	15.0
Male	-	Shooting	1.0
Male	Mental problem	Hanging	1.0
Female	Eve teasing	Poison	2.0
Female	Mental illness	Hanging	14.0
Female	Torture	Fire	1.0
Male	Mental illness	Hanging	9.0
Female	Mental problem	Hanging	1.0
Female	unknown	Hanging	10.0
Female	Family feud	Setting fire	1.0
Male	Personal problem	Jumping off river	1.0
Female	Academic problem	Hanging	3.0
Male	Torture	Hanging	1.0
Male	Personal problem	Hanging	19.0
Female	Torture	Setting fire	4.0
Male	Mental illness	Jumping off building	1.0
Female	Torture	Jumped under running train	1.0
Female	unknown	Jumping off river	1.0
Female	not given	Hanging	62.0
Male	Family feud	Poison	29.0
Male	Physical illness	Shooting	1.0
Female	unknown	Poison	1.0
Male	not given	Hanging	28.0
Female	not given	Poison	12.0
Female	Eve-teasing	Poison	1.0
Male	Personal problem	Stabbing himself	1.0
Male	Family feud	Setting fire	1.0
Male	Financial problem	Poison	2.0
Male	Physical illness	Poison	3.0
Male	Drug addict	Jumping off building	1.0
Female	Personal problem	Poison	9.0
Female	not given	not given	4.0
Male	Family fued	Hanging	17.0
Female	Sexually abused	Setting fire	2.0
Male	unknown	Poison	1.0
Female	Eve-teasing	Hanging	5.0
Female	unknown	not given	1.0
Male	Physical illness	Hanging	2.0
Male	not given	Jumped under running train	1.0
Female	Physical illness	Hanging	4.0
Male	not given	Poison	6.0
Male	Drug addict	slitting throat	1.0
Female	Allegation	Hanging	1.0
Female	Failing in exam	Poison	1.0
Female	Heated argument	Hanging	1.0
Female	Tortured	Hanging	7.0
Male	Family fued	Jumped	2.0
Female	Raped	Set fire	1.0
Female	Illness	Hanging	2.0
Female	not given	Jumped	1.0
Female	Unknown	Hanging	4.0
Female	Illness	Jumped	1.0
Female	Family fued	hanging	1.0
Female	Humiliation	Jumped	1.0
Female	Psychological problem	Jumped	1.0
Male	Unknown	Hanging	4.0
Male	Fear	Hanging	1.0
Female	Tortured	not given	1.0
Female	Unknown	Poison	3.0
Female	Mental illness	Poison	2.0
Female	unknown	Jumped	1.0
Male	Losing election	Jumped in front of train	1.0
Male	Illness	Poison	1.0
Male	Love affair	Hanging	1.0
Male	Illness	Hanging	5.0
