,Date,Age,Gender,Profession,Methodology,Reason,Time,District,Source
472,3/30/2012,8 to 12,Male,Student,Hanging,family feud,20:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=228451
627,9/30/2012,8 to 12,Female,Student,Poison,allegation,23:30:00,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=252044
188,2/8/2011,8 to 12,Female,student,Poison,family feud,not given,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
636,10/20/2012,8 to 12,Female,not given,Hanging,physical illness,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=254736
230,4/5/2011,8 to 12,Male,student,Poison,family feud,not given,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=180646
670,12/24/2012,8 to 12,Female,Student,Hanging,family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=262499
592,9/4/2012,8 to 12,Male,Student,Hanging,family feud,0:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=248457
179,1/25/2011,8 to 12,Female,student,Poison,failing in exam,not given,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=171614
763,7/24/2013,8 to 12,Female,Student,Hanging,family feud,Evening,Magura,http://archive.thedailystar.net/beta2/news/snippets-70/
478,4/3/2012,8 to 12,Male,Student,Poison,family feud,Noon,Rangpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=229085
388,11/27/2011,8 to 12,Male,student,Hanging,family feud,morning,Manikganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=211963
359,10/3/2011,8 to 12,Female,student,Hanging,family feud,not given,Manikganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=205094
626,9/29/2012,8 to 12,Female,not given,Hanging,family feud,Night,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=252044
962,10/23/2014,8 to 12,Male,not given,Hanging,imitating suicide,noon,Sunamganj,http://www.thedailystar.net/boy-dies-while-imitating-suicide-acting-47151
306,7/19/2011,8 to 12,Female,student,Hanging,eve teasing,20:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=194954
529,6/9/2012,8 to 12,Female,Student,Hanging,family feud,21:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=237808
14,2/3/2010,8 to 12,Female,Student,Hanging,eve teasing,Afternoon,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=124952
75,7/19/2010,8 to 12,Female,Student,Poison,family feud,Night,Lalmonirhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=147669
688,2/8/2013,8 to 12,Female,Student,hanging,physical illness; family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=268417
897,5/31/2014,8 to 12,Female,not given,Hanging,mental disorder,Night,Chittagong,http://www.thedailystar.net/newsarchive/news-in-brief-26705
